foodId,Nama,Tipe
1,Sosis Bakar,ayam-daging
2,Ngohiong Ayam Udang,ayam-daging
3,Rawon Ayam,ayam-daging
4,Usus Goreng Crispy,ayam-daging
5,Ceker Rica Rica,ayam-daging
6,Ceker Kecap Pedas,ayam-daging
7,Ayam Suwir Kecap,ayam-daging
8,Burung Puyuh Bakar,ayam-daging
9,Dangkot Ayam,ayam-daging
10,Ayam Bumbu Merah,ayam-daging
11,Pempek Ayam,ayam-daging
12,Ngohiong Ayam,ayam-daging
13,Rica Rica Bebek,ayam-daging
14,Ayam Rujak Tanpa Santan,ayam-daging
15,Daging Goreng,ayam-daging
16,Asam Pedas (Padeh) Daging,ayam-daging
17,Tongseng Kambing Tanpa Santan,ayam-daging
18,Saksang Ayam,ayam-daging
19,Ayam Goreng Madu,ayam-daging
20,Ayam Kecap,ayam-daging
21,Ayam Geprek Keju,ayam-daging
22,Chicken Basil Thai,ayam-daging
23,Dumpling Ayam Kukus,ayam-daging
24,Tangsuyuk Sapi,ayam-daging
25,Kekian Ayam Udang,ayam-daging
26,Yakitori Ayam,ayam-daging
27,Ayam Telur Asin,ayam-daging
28,Ayam Kuah Hitam,ayam-daging
29,Korean Spicy Chicken,ayam-daging
30,Nasi Jinggo,ayam-daging
31,Bubur Ayam Quaker Oat,ayam-daging
32,Lidah Sapi Cabe hijau,ayam-daging
33,Ayam Goreng Oatmeal,ayam-daging
34,Burrito Ayam,ayam-daging
35,Ayam Kecap Kuah,ayam-daging
36,Ayam Kecap Pedas,ayam-daging
37,Ayam Bumbu Rajang (Khas Lombok),ayam-daging
38,Gore Gore,ayam-daging
39,Bakso Keju,ayam-daging
40,Tum Ayam,ayam-daging
41,Ayam Bakar Lumajang,ayam-daging
42,Ayam Bakar Bumbu Rujak,ayam-daging
43,Ayam Panggang Pecel,ayam-daging
44,Nasi Briyani Ayam,ayam-daging
45,Ayam Kodok,ayam-daging
46,Sepat Ayam,ayam-daging
47,Tahu Campur,ayam-daging
48,Ayam Kecap Jahe,ayam-daging
49,Daging Bumbu Bali,ayam-daging
50,Ayam Bakar Klaten,ayam-daging
51,Ayam Goreng Cabe,ayam-daging
52,Ayam Kare Jawa,ayam-daging
53,Ayam Goreng Sasando,ayam-daging
54,Kalio Daging Sapi,ayam-daging
