Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
AR001,"Beras giling, mentah",A,R,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.027,0.071,0.0001,0.0002,0.0001,0
AR002,"Beras giling var pelita, mentah",A,R,11.4,369,9.5,1.4,77.1,0.4,0.068,0.171,0.0014,0.034,0,0,0.0003,0,0
AR003,"Beras giling var rojolele, mentah",A,R,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.034,0.1129,0.0001,0.0002,0,0
AR004,"Beras hitam, mentah",A,R,12.9,351,8,1.3,76.9,20.1,0.006,0.198,0.0001,0.015,0.105,0.0001,0.0002,0.0001,0
AR005,"Beras jagung kuning, kering, mentah",A,R,10.8,358,5.5,0.1,82.7,10,0.02,0.09,0.0014,0.001,0.08,0.0001,0.0001,0.0001,0.003
AR006,"Beras jagung putih,kering, mentah",A,R,22.5,307,4.8,0.1,71.8,10,0.017,0.078,0.0012,0.001,0.07,0.0001,0.0002,0.0001,0
AR007,"Beras ketan hitam tumbuk, mentah",A,R,13.7,360,8,2.3,74.5,1,0.01,0.347,0.0062,0.011,0.288,0.0003,0.0002,0.0001,0
AR008,Beras ketan putih tumbuk,A,R,12.9,361,7.4,0.8,78.4,0.4,0.013,0.157,0.0034,0.003,0.282,0.0003,0.0003,0,0
AR009,"Beras ladang, mentah",A,R,9.8,376,7.5,3.8,78,5.9,0.02,0.11,0.0008,0.01,0.07,0.0001,0.0002,0.0002,0
AR010,"Beras menir, mentah",A,R,12,362,7.7,4.4,73,0.2,0.022,0.272,0.0037,0.09,0.201,0.0001,0.0006,0,0
AR011,Beras parboiled,A,R,10,353,6.8,0.6,80,0.5,0.005,0.142,0.0008,0.002,0.046,0.0003,0.0002,0.0001,0
AR012,"Beras tumbuk, mentah",A,R,11.5,354,7.8,0.4,79.9,3.8,0.003,0.112,0.0006,0.005,0.085,0.0005,0.0003,0.0002,0
AR013,"Beras tumbuk merah,",A,R,14.6,352,7.3,0.9,76.2,0.8,0.015,0.257,0.0042,0.01,0.202,0.0004,0.0003,0,0
AR014,"Cantel, mentah",A,R,11,366,11,3.3,73,1.2,0.028,0.287,0.0044,0.007,0.249,0,0.0001,0.0001,0
