Data Sekolah Kec. Serpong - Dapodikdasmen,,,,,,,,,,,
No,Nama Sekolah,NPSN,BP,Status,PD,Rombel,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus
1,SD NEGERI RAWA BUNTU 03,20602880,SD,Negeri,936,30,37,8,30,1,1
2,SD NEGERI SERPONG 04,20604609,SD,Negeri,540,19,24,3,20,0,1
3,UPTD SD NEGERI BUARAN 01,20604218,SD,Negeri,803,25,31,10,25,2,1
4,UPTD SD NEGERI BUARAN 02,20604219,SD,Negeri,341,12,16,6,6,0,1
5,UPTD SD Negeri Ciater 01,20604171,SD,Negeri,431,14,17,4,10,0,1
6,UPTD SD NEGERI CIATER 02,20603026,SD,Negeri,750,23,29,9,23,2,1
7,UPTD SD NEGERI CIATER 03,20604172,SD,Negeri,375,12,16,6,12,0,1
8,UPTD SD NEGERI CILENGGANG 01,20602782,SD,Negeri,194,10,14,3,6,0,1
9,UPTD SD Negeri Cilenggang 02,20602781,SD,Negeri,475,18,24,6,20,3,1
10,UPTD SD NEGERI CILENGGANG 03,20604190,SD,Negeri,331,13,16,6,16,0,1
11,UPTD SD NEGERI CILENGGANG 04,20604191,SD,Negeri,309,12,15,6,12,0,1
12,UPTD SD NEGERI LENGKONG GUDANG,20603101,SD,Negeri,491,18,23,6,9,1,1
13,UPTD SD NEGERI LENGKONG GUDANG TIMUR,20603103,SD,Negeri,335,12,15,5,5,0,0
14,UPTD SD NEGERI LENGKONG WETAN 01,20602996,SD,Negeri,602,20,23,9,20,0,1
15,UPTD SD NEGERI LENGKONG WETAN 02,20603015,SD,Negeri,364,14,17,2,8,0,1
16,UPTD SD NEGERI RAWA MEKAR JAYA,20603493,SD,Negeri,298,12,15,5,6,0,1
17,UPTD SD Negeri Rawabuntu 01,20602845,SD,Negeri,786,28,34,9,24,1,1
18,UPTD SD Negeri Rawabuntu 02,20602846,SD,Negeri,307,12,15,6,11,1,1
19,UPTD SD NEGERI SERPONG 01,20602783,SD,Negeri,295,12,15,7,12,0,0
20,UPTD SD NEGERI SERPONG 02,20602785,SD,Negeri,491,19,23,7,11,0,1
21,UPTD SD NEGERI SERPONG 03,20602786,SD,Negeri,336,12,18,6,10,1,1
22,SD AL KAWAKIB,70044117,SD,Swasta,47,6,0,1,6,0,0
23,SD AL MADINAH ISLAMIC CENTER,69754602,SD,Swasta,267,13,17,2,14,2,1
24,SD AL-FATH BSD,20615877,SD,Swasta,704,27,34,4,30,2,1
25,SD BINA HARUM BANGSA,70023854,SD,Swasta,65,5,8,1,6,0,1
26,SD CIKAL SERPONG,69948224,SD,Swasta,477,18,27,1,19,2,1
27,SD EHIPASSIKO,20614321,SD,Swasta,336,15,22,2,15,3,1
28,SD GLOBAL ISLAMIC SCHOOL 2,69893346,SD,Swasta,891,37,53,3,39,2,1
29,SD ISLAM AL AZHAR BSD,20604454,SD,Swasta,817,30,50,4,34,1,1
30,SD ISLAM AL HUDA,20614643,SD,Swasta,85,6,8,1,6,1,1
31,SD Islam Al-Azzamy,69883425,SD,Swasta,111,6,7,1,6,0,1
32,SD ISLAM AS-SALAF TAHFIDZUL QURAN,69992879,SD,Swasta,236,12,14,8,12,1,1
33,SD ISLAM CIKAL HARAPAN I,20604540,SD,Swasta,649,24,36,11,24,4,1
34,SD ISLAM KAFFAH,20623241,SD,Swasta,175,8,12,3,17,3,1
35,SD ISLAM MEKAR JAYA,20604632,SD,Swasta,354,13,14,1,13,0,1
36,SD ISLAM RAUDHAH,20613962,SD,Swasta,682,24,53,9,24,2,1
37,SD ISLAM SINAR CENDEKIA,60725680,SD,Swasta,357,15,34,4,15,2,1
38,SD ISLAM TERPADU AULADY,20613782,SD,Swasta,233,11,25,3,14,1,1
39,SD ISLAM TERPADU BAITUL AKBAR PARABEK,69964129,SD,Swasta,41,5,7,3,6,0,0
40,SD ISLAM TERPADU QURAN AL IHSAN,70014133,SD,Swasta,59,6,7,4,6,0,1
41,SD IT INSAN CEMERLANG,20616399,SD,Swasta,114,8,12,3,10,0,1
42,SD IT PERMATA GEMILANG,20616238,SD,Swasta,51,6,9,1,6,3,1
43,SD JEMARI NUSANTARA ISLAMIC SCHOOL,69996090,SD,Swasta,62,6,10,1,6,1,1
44,SD KARAKTER IDENTIK,70000256,SD,Swasta,270,11,13,1,14,2,1
45,SD KRISTEN ORA et LABORA,20604615,SD,Swasta,405,15,23,5,16,2,1
46,SD KRISTEN SOLIDEO,20613942,SD,Swasta,130,6,9,3,11,2,1
47,SD OSB,70014773,SD,Swasta,34,6,6,1,6,1,0
48,SD SANTA URSULA BSD,20604672,SD,Swasta,767,22,28,23,19,2,1
49,SD SANTO ANTONIUS DARI PADUA,20613870,SD,Swasta,228,10,14,2,12,1,1
50,SD SEKOLAH ALAM PERMATA,70012334,SD,Swasta,0,0,0,0,0,0,0
51,SD STELLA MARIS,20604618,SD,Swasta,411,17,26,3,18,2,1
52,SD SWASTA ANDERSON SCHOOL,20614394,SD,Swasta,191,8,10,2,10,1,1
53,SDIT AL AMANAH SERPONG,70014574,SD,Swasta,149,7,7,3,7,0,0
54,SDIT AL IKHLAS,70050476,SD,Swasta,39,3,0,0,3,0,0
55,SDIT NUR FATAHILLAH,20613663,SD,Swasta,880,32,49,6,30,1,1
56,SD DEUTSCHE SCHULE JAKARTA,69888405,SPK SD,Swasta,82,5,13,2,12,0,1
57,SD SAINT JOHNS CATHOLIC SCHOOL,20613807,SPK SD,Swasta,489,20,38,2,43,2,1
58,SD Sampoerna Bumi serpong Damai,69981678,SPK SD,Swasta,289,14,15,1,14,1,1
59,SD SINARMAS WORLD ACADEMY,20614384,SPK SD,Swasta,102,6,10,0,6,1,1
60,SD SOPHOS INDONESIA,20614379,SPK SD,Swasta,220,13,13,3,13,2,1
Total,Total,Total,Total,Total,21.289,843,1.17,257,858,62,52
