"id_kabkot","id_prov","jenis_kabkot","nama_kabkot"
"1101","11","1","ACEH SELATAN"
"1102","11","1","ACEH TENGGARA"
"1103","11","1","ACEH TIMUR"
"1104","11","1","ACEH TENGAH"
"1105","11","1","ACEH BARAT"
"1106","11","1","ACEH BESAR"
"1107","11","1","PIDIE"
"1108","11","1","ACEH UTARA"
"1109","11","1","SIMEULUE"
"1110","11","1","ACEH SINGKIL"
"1111","11","1","BIREUEN"
"1112","11","1","ACEH BARAT DAYA"
"1113","11","1","GAYO LUES"
"1114","11","1","ACEH JAYA"
"1115","11","1","NAGAN RAYA"
"1116","11","1","ACEH TAMIANG"
"1117","11","1","BENER MERIAH"
"1118","11","1","PIDIE JAYA"
"1171","11","2","BANDA ACEH"
"1172","11","2","SABANG"
"1173","11","2","LHOKSEUMAWE"
"1174","11","2","LANGSA"
"1175","11","2","SUBULUSSALAM"
"1201","12","1","TAPANULI TENGAH"
"1202","12","1","TAPANULI UTARA"
"1203","12","1","TAPANULI SELATAN"
"1204","12","1","NIAS"
"1205","12","1","LANGKAT"
"1206","12","1","KARO"
"1207","12","1","DELI SERDANG"
"1208","12","1","SIMALUNGUN"
"1209","12","1","ASAHAN"
"1210","12","1","LABUHANBATU"
"1211","12","1","DAIRI"
"1212","12","1","TOBA"
"1213","12","1","MANDAILING NATAL"
"1214","12","1","NIAS SELATAN"
"1215","12","1","PAKPAK BHARAT"
"1216","12","1","HUMBANG HASUNDUTAN"
"1217","12","1","SAMOSIR"
"1218","12","1","SERDANG BEDAGAI"
"1219","12","1","BATU BARA"
"1220","12","1","PADANG LAWAS UTARA"
"1221","12","1","PADANG LAWAS"
"1222","12","1","LABUHANBATU SELATAN"
"1223","12","1","LABUHANBATU UTARA"
"1224","12","1","NIAS UTARA"
"1225","12","1","NIAS BARAT"
"1271","12","2","MEDAN"
"1272","12","2","PEMATANGSIANTAR"
"1273","12","2","SIBOLGA"
"1274","12","2","TANJUNG BALAI"
"1275","12","2","BINJAI"
"1276","12","2","TEBING TINGGI"
"1277","12","2","PADANGSIDIMPUAN"
"1278","12","2","GUNUNGSITOLI"
"1301","13","1","PESISIR SELATAN"
"1302","13","1","SOLOK"
"1303","13","1","SIJUNJUNG"
"1304","13","1","TANAH DATAR"
"1305","13","1","PADANG PARIAMAN"
"1306","13","1","AGAM"
"1307","13","1","LIMA PULUH KOTA"
"1308","13","1","PASAMAN"
"1309","13","1","KEPULAUAN MENTAWAI"
"1310","13","1","DHARMASRAYA"
"1311","13","1","SOLOK SELATAN"
"1312","13","1","PASAMAN BARAT"
"1371","13","2","PADANG"
"1372","13","2","SOLOK"
"1373","13","2","SAWAHLUNTO"
"1374","13","2","PADANG PANJANG"
"1375","13","2","BUKITTINGGI"
"1376","13","2","PAYAKUMBUH"
"1377","13","2","PARIAMAN"
"1401","14","1","KAMPAR"
"1402","14","1","INDRAGIRI HULU"
"1403","14","1","BENGKALIS"
"1404","14","1","INDRAGIRI HILIR"
"1405","14","1","PELALAWAN"
"1406","14","1","ROKAN HULU"
"1407","14","1","ROKAN HILIR"
"1408","14","1","SIAK"
"1409","14","1","KUANTAN SINGINGI"
"1410","14","1","KEPULAUAN MERANTI"
"1471","14","2","PEKANBARU"
"1472","14","2","DUMAI"
"1501","15","1","KERINCI"
"1502","15","1","MERANGIN"
"1503","15","1","SAROLANGUN"
"1504","15","1","BATANGHARI"
"1505","15","1","MUARO JAMBI"
"1506","15","1","TANJUNG JABUNG BARAT"
"1507","15","1","TANJUNG JABUNG TIMUR"
"1508","15","1","BUNGO"
"1509","15","1","TEBO"
"1571","15","2","JAMBI"
"1572","15","2","SUNGAI PENUH"
"1601","16","1","OGAN KOMERING ULU"
"1602","16","1","OGAN KOMERING ILIR"
"1603","16","1","MUARA ENIM"
"1604","16","1","LAHAT"
"1605","16","1","MUSI RAWAS"
"1606","16","1","MUSI BANYUASIN"
"1607","16","1","BANYUASIN"
"1608","16","1","OGAN KOMERING ULU TIMUR"
"1609","16","1","OGAN KOMERING ULU SELATAN"
"1610","16","1","OGAN ILIR"
"1611","16","1","EMPAT LAWANG"
"1612","16","1","PENUKAL ABAB LEMATANG ILIR"
"1613","16","1","MUSI RAWAS UTARA"
"1671","16","2","PALEMBANG"
"1672","16","2","PAGAR ALAM"
"1673","16","2","LUBUK LINGGAU"
"1674","16","2","PRABUMULIH"
"1701","17","1","BENGKULU SELATAN"
"1702","17","1","REJANG LEBONG"
"1703","17","1","BENGKULU UTARA"
"1704","17","1","KAUR"
"1705","17","1","SELUMA"
"1706","17","1","MUKO MUKO"
"1707","17","1","LEBONG"
"1708","17","1","KEPAHIANG"
"1709","17","1","BENGKULU TENGAH"
"1771","17","2","BENGKULU"
"1801","18","1","LAMPUNG SELATAN"
"1802","18","1","LAMPUNG TENGAH"
"1803","18","1","LAMPUNG UTARA"
"1804","18","1","LAMPUNG BARAT"
"1805","18","1","TULANG BAWANG"
"1806","18","1","TANGGAMUS"
"1807","18","1","LAMPUNG TIMUR"
"1808","18","1","WAY KANAN"
"1809","18","1","PESAWARAN"
"1810","18","1","PRINGSEWU"
"1811","18","1","MESUJI"
"1812","18","1","TULANG BAWANG BARAT"
"1813","18","1","PESISIR BARAT"
"1871","18","2","BANDAR LAMPUNG"
"1872","18","2","METRO"
"1901","19","1","BANGKA"
"1902","19","1","BELITUNG"
"1903","19","1","BANGKA SELATAN"
"1904","19","1","BANGKA TENGAH"
"1905","19","1","BANGKA BARAT"
"1906","19","1","BELITUNG TIMUR"
"1971","19","2","PANGKAL PINANG"
"2101","21","1","BINTAN"
"2102","21","1","KARIMUN"
"2103","21","1","NATUNA"
"2104","21","1","LINGGA"
"2105","21","1","KEPULAUAN ANAMBAS"
"2171","21","2","BATAM"
"2172","21","2","TANJUNG PINANG"
"3101","31","1","KEPULAUAN SERIBU"
"3171","31","2","JAKARTA PUSAT"
"3172","31","2","JAKARTA UTARA"
"3173","31","2","JAKARTA BARAT"
"3174","31","2","JAKARTA SELATAN"
"3175","31","2","JAKARTA TIMUR"
"3201","32","1","BOGOR"
"3202","32","1","SUKABUMI"
